Priority,What looks wrong,Detail,Date,Accident Type,City / Place,Killed,Injured,Headline,Link
MEDIUM,reports disagree on the casualty count,killed reported as 1/4/6,2026-06-14,train,Morena,4,,"Morena Train Accident: Major accident in Morena, stampede due to rumor, 6 passengers killed from another train - Amar Ujala",https://news.google.com/rss/articles/CBMi8wFBVV95cUxQMG10SmRlMU9FcGJnT3BmTlk5QUtZNkJtUlVWSVpVZ2lYSFo0aFRBbms3aFFOR0RJZDFHYnE2ZHlqRjlXR3NQUWREaS1UeEhpcUo5WENFZGdmRXZETTZiWDVmaExCZWlIWmg1MXh5RnJWa1gwd2NyUjhnZG5IRFpHMFJGMTJ6MW9ESGZQZ0stSDdjZzhkTUhIMzhKTHJVVTRBSXJVbGljSGZ2UnZfRzV3VDktVlRlREZtWlhUUndXalQxVXNJR3BWRmdiV1VrWHpkMG44VFpjbUhhWDF2RC1YSXduT0Q0cHdZd2xMTlZCM1FLVVnSAfgBQVVfeXFMTUNUc3NjcGtOUnJ4Nmd6MU5RRUJVT0lsS0dGejFyNnZRc09WT2tQcDdDX2pTanFaZFRhOWVwMnVkMEotNElRX3g3UHd5eWljd3NNOUoydmRtMTMwNkNCTDN1Z0Vqd3ltRmgyVW85dFZuR05lUEJtSExrRHNxSWtvX2lJbUV1NVZ5S21WYzJjYnplSjNYa0M5RXJvOVNIWjFMeE16MnFsZFJ1UTdzOXJwUkV0Y2RGdjU4WnlvOGI1bTM2S3JrODNUZkJLRldxSUItNkNQOFp5eW1tbUYzTVg2aldkcjVKd3lJY2sydlZFVmJEQ0NIR2V1NVM?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-14,roadway,Not identified,8,,"Malshiras Pickup Accident: 8 killed in Malshiras pickup falls into well, road safety - ABP Majha",https://news.google.com/rss/articles/CBMi_gFBVV95cUxNdXp1ZTRqN1ZqdjNGa1pzREs4WEJoLWFySTk4dW9SZ1VFT3RkcWlrUERNa1NfNTlfaEFxaEVkVFNBR1pjemROSHMzSk9IODdoek1zVUktdGpId3FfcDl6Y3dIVDlWdll4WV9XallsN0VTU3h3b2ZaYW9mcEZoSmpPX3F4Y1lkQjNZMW1tVmkwdzdaUHpvUXZJV1UyV1VISHdWWVJxeVNpTXZXX011R2xWNFg2MVluOS1CS1hiWVZvRm81b213a0VleWh5NkNPUFlqamlsV0RKNGoxOXFQNVdKN0l6ZFhfMEYzRldxdDlQdjV2Z1VlQldvVWNUVkVEUdIBgwJBVV95cUxQQWh5TFdfMjBzY1EtRWZyMWdmMHBKeWVJUzZrMWJuNXJPcjIxOHhERXlhYWpEX2E4UEZCZWh6MDFndXAtTTBlR2czak1Da2MzbmxrcUYtWlFQRHpGckw5RzFVY2NCeF8yNm1XZkFXV1dUdmk1dTRKUDZpT3R3Vk1FVWQzMHl3QUQ3ZjdjV2s2eUFGcElnT3ZMSlJSQ0lJQjI0Ul8xYnhXc2pfQTB6Z1kwVDBsZ3VOT1NLNWJzVy1mZHQ2S3NhaXJPc3hfSnhEUFo2R0dHWk4wZUVSakw0WU5vZWVCMHNVRjZxTW1XdW9NY243dzlsX3ZiVkZycWd3c1pWa0gw?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-14,train,Not identified,4,,Train Accident | It is rumored that the mobile phone exploded. Four passengers died after jumping from the train! - Namasthe Telangana,https://news.google.com/rss/articles/CBMisAFBVV95cUxOS0FxWjVKd2pXN0FfY1VXdlpYR0wwb0gyOGk5V1pDYWhDTmlrY2NhVFV0aVdKUW9tSnFYZS1GdTY2RFFpd3F2UkQwTnRWRlZwUldIUjV1RWgtcWcwQzdrOVlmNElERVJmR3BjZ1Qzd3BmMHFpRlVaYXJvVGpPTTNjU2VpazlfajY4R2plQUNoLTlIeXFSaFdEZnBmckU2MHdsMHNfMGRRdU56WVRaSE5LUw?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-14,train,Not identified,3,,"Line jumping on fire rumours, three women dead after being hit by another train 4 - ETV Bharat",https://news.google.com/rss/articles/CBMi8AFBVV95cUxPX0V4b0NXcjBHcHBIX19kZEYxbW1jcGJyM1R6TEhDR01Ebmt4SGp0eUpfakViczFUTHk5WU9XZklseHN6MjNVOXNfVUh2V3o5VzZadDgxbHgyWGZpN0thS1FldjNxbXNyTXMyYWM2UnBEMnBqSlN3am10NjFBZl9TV3N1WDBNeXRobWs1SnpENGdSNTR4Y0tBblR3QlBIR0g1UkoybV93OGRfWFo0OGxDV0k4dkRmVWF1U09FWDNKb0FfejlrZXpEU0ozaGI0alF5dmZsQk9RSzY4dnFLankxVDVyZUYtZThzTUl6RUhXekXSAfYBQVVfeXFMT0JFNVl3dURHdHNZQ0xIc1FVSDVGcW5zaVMyR3NTeFhSUW1UYW5GdkVTcXhCQ05KVURhNmFTeXcwQ0NsVkllcFVRMDhPNF9MalljMG9QZDRDd0hYMm1TbFVVQVJvcmNldTM0V255SDFhMnJ3Yl82eWhLMllzejRZdjhIRURNZ2ZhMklYd0Qzb0NaaGxTZVVoTGJleWI5RzhZcXhqb2xWQ1NLYm5hS0k3Zm5MNWxXeXhKTDRfYnV4V3FfWGphVkRIcTNfUnEwbV9UeHdQcFY3VDNQSEVDY2pzeGtscTZjdkxlamZPSE1FdWxTdzNtNDNR?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-15,roadway,Not identified,3,29,"Three killed, 29 injured as runaway truck overturns bus in MP's Katni - India Today",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQN1pxc2x6TFU1dVMyM0p5Ry1aNVZCODVscFRxV0Y1LWszX2FXeVdOaGFONlpZbDZDSlNfLURZVHIzM1FhZk5SSl9CQTlKLWliOHRINl9vaFNOUk5CUU5ZNDVCajFFTlk0X0hHeTRsWVZqdEI1SzRMTkJ5bFNRRDFVV19BTkd4WXFaSzlZODdReVYzdUVscmRvamVnTEc1SDV3QURLcUxTQXpWcmdpRTdrWFlIY0dMUW1nMFUxbU5ndE4xNUIxRjBHdUJvektFZEM4blVtcFY0SEFQSmFBdnfSAeMBQVVfeXFMUEFlQ1ZYQUZkUi1jQUFXWUp5N2lzSjlKRDJOY1MyU0lFN1lMTXA4eWd6Nlp4Y0VYMktZZy1faFBEeVFzVnJzSmo5QzVCQzllTFlGUzg1dTBMekNiS1FuQlFFaEkyYjRjZUk4RjV4Z2NJQ2liQzJtcTdLeWZaYU1DUkNLZ0prQzhocmNGVTU5SDZxMzQ0bTBXTzJuaVZnVjJCaWtwNHNiMDkxbnRlZWxobkpHcm01LUhhS256Z082Ul96dFAyU0VQMDhLUW8zaEVOYk9PeWpmS01Lcl8zWkltVHlidmM?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-16,roadway,Not identified,6,,Bad bus accident.. 6 dead - Disha daily,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTF9LRzRlRFRzdVF5a0k0ODlDd1B6N21MU2tibGlaQ1dFaERjRkx4ZEtYYjZPZktKcUtjUjhPWE5vd2I2U2REM3NPQ3BGVXdBSnFNb3VMUTBNN2FxUzc1VU9jM0JySVplMGFueEtrWk1BX0w2NWExLVY5WGZ4d2pYdXU0bmo1aFZkaUhLWXI5NGwwNmJhUjk3amlEM1RXVmhPNERxUGlGSW95NjZ6bHIyWg?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 20/26/28,2026-06-16,roadway,Vadodara,6,28,"Speeding luxury bus collides with moving truck in Vadodara, 6 passengers die tragically, more than 28 injured - ndtv.in",https://news.google.com/rss/articles/CBMilwFBVV95cUxPOGgtNTRadFZoWUNxM2pVR3dkMllxZHhNWGRBMEJWMjFEa0MxNzlZZzZPcVJ6OFR3azlZWmQxRXRqc2ZGMGhYZFRiT2RjZ1JUVkU4ZGZhOUI1c2hvQVFzaWh6RW9DdkhDM09LQUdPNHk1Q1hYbTc3RkJJVHdPX3JOTHdZWnZkOHFsaHlncGhTUUJBRGhGYnVv?oc=5
MEDIUM,reports disagree on the casualty count,killed reported as 6/8; injured reported as 20/26,2026-06-17,roadway,Gujarat,6,20,"8 killed, 26 injured as private bus from Rajasthan crashes into parked truck in Gujarat's Vadodara - Deccan Herald",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPY093SFlqcDJRWUg3Wk1CQ2ZMMEo3c1E4bC1rQmhLd1hrYXpkZ2tZWWlyTEl4QTM0NnFNM1ozSDdqNGtTclBQLUFMeEI3RUMtTkMwbjRZbkhPdlNndm1Lck9ucW5jaklvWFBuVGVzY0VaWXpKNE1QcG9XZ2lSVDJfbDhHZ1NFZ0NESndDUEZIRW9idkNCcDk3cXMwRzJjMzZ5MkNoREZqMDR3cWdvcDZfMEhpWW5rdEE5NUJReG1FRTdFMDdHZVFWVEtKNXp1TkxvZEtTd3BCX3FrMkk1anJLSw?oc=5
MEDIUM,reports disagree on the casualty count,killed reported as 6/7,2026-06-17,roadway,Gujarat,7,26,"Horrific road accident in Gujarat, luxury bus collides with truck; 7 people died, more than 26 injured - News18 Hindi",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQdWpCYTZHQ082QUY2UmxiUU5kOWxOYXVmSy1pak1ueUNBMUNqYmRIc1dZSi12ems0MG80VzlpclFwUUVvVzBNeTZuMkgxYnhFUHY1VHRreWtfWTVWWVpMbHNsX2txZTBrUHk4MWpWM191enNHdFRLZFpJcDlCX3Y1cFZpVWdxaGUwemliV3lGVGZCRVR2aklQWkNQc0VmWUp2YzBBYnNHNC1iRU9uaUx3RE1ZSGdkSEdER1ZJekNZZUpHdnlzSnZxc3J1anVIUW5saFdDNUV0cHpJamEwdUJaSjRYc2VNMGE1dndmREpYRW3SAfYBQVVfeXFMT3Z0Uzl3RnJaRVhRdWFwME96ZlR0ZjR0VTlBc3p6TW50Um16UnlzdDMtS3MyVnB3b1VqR3Z0aUQxODJ5MERaaThKR1RkOHNWZVpnX05qTUlnYTVheXNUUUlNZ0NfTkh6cmdVTFJCdnlWWlljVFB3eWJJZThNeVI0d3BrVFJsRkVjLW1UdTlIbUtmVjRuTHpQUzJaVHFtVnJhOWFwZjNQRjZ4Y1NldzhycE9ZTUxLajl1cTkwSnZDOVMzRWpUdUJGU3NMeERvZWU2UF9KQ0QxeGtESnM5N2tWR2RZWnJ5N04ya3VfX210VlkxcHlISVNn?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-17,roadway,Not identified,5,,"Vadodara-Jarod Road Accident: Luxury Bus Hits Truck, 5 Dead | Gujarat News - Sandesh",https://news.google.com/rss/articles/CBMirwFBVV95cUxOclpCbVlMMmlZOHJvUkZxYTRaYWJweF9ZdU9VeEJjd3pnZnpOZHNMcDJITHhRc2ZBVS1mUVZwNnZrR0FQSHhodjZmV3RjbnpxOENhc1hmSWhhWkV3TXEtY1FQX1pfemQzMmlCdWZXQ01IajNKUDFEdmRkaF8yQllDNWNCMkZJcDViM1diVUZObnlGTE9CVHE0RlpYVldGeGhuTzBnOXVnOVhNeENvNlhN?oc=5
MEDIUM,reports disagree on the casualty count,injured reported as 10/11,2026-06-18,roadway,Firozabad,,11,"Bus-truck collision on Lucknow-Agra Expressway, 11 injured: Accident in Firozabad, serious driver Saifai referred - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi8AFBVV95cUxPeDVpUHZwRUdvWnVidHp4dDcwWmtWSUdQZmhCcmVqZE9qQk1nMlhPc09hakM3TFJ6MnNNN2tWSE5aSFpFbjBPYkZnakk1S2hzS20yQ0c1U1h1Q2VBRlJVTzdDVndfU1J4bjRaOGdRYUNxV2tMaXQ5WWp6TENaU3NlWnRjVDlGUVdBS2xOYWNWOEkwcjVXbEZia0tPTWxYdnBENnpudWtMOWM0cWZ4Y3hfMzNhMnl0NkRwcGJQQjNnQnExTlZwaThBQTYyUTJtVm1VS3JqT2p5UkozZTJaZTEtYkZwS09lVkUzWE5uQU5Za27SAfYBQVVfeXFMTko3am5mdHNtMUlzLTQ3c2ZXc0ZTenk4WFg2RWpVMld6RXNTVmFpT2pKZERzZU4zNm5QWDZ5ZFF1bG9UblVDNGd5cGViVXRMX3NiYmxoQ0pWS2lOczNmWVVSS3cyX2RiRUgxSHp1UVpTMGNIYTRNYUZJcU94bGZlVF8wWDB4cEFLMjNlZ0dfWU4tUHkwZDU2cFFpbFd1MU5LS2t3WG9zZ3VuQjB6MGxtbmZWbTc2blNteWZFRjVZbGh4MW1CX1QwQ0ZoOU5BakxnenhsYV9pWTZsNjIxRzU2MGNNMkZnYjRreUlxdTVsbGpabFhWWHFn?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-19,train,Not identified,7,5,"7 buffaloes killed, 5 injured in train accident in Lohardaga; Railway service was disrupted for two and a half hours - Jagran",https://news.google.com/rss/articles/CBMirwFBVV95cUxNV1gxM0hEbnJTVnZsOVFfSUNTUUk0b3AzX0huZ21ua3Q0SEhTY1dGTktPTUk2V0RWOUxBSFRIR25YNS1lTmZfMVpxWTJDZHNUaWdMeGttMGZSNjFDbkFuaGRkNW9weENGTk00ZGZxS0E0OVlWcXh4dmMwN3d2QmlSSTVJZnJzWjhFdFJlQVRYTTd6WHg0SlhKWGFzOGh0RmdfMEJTVkNKNXhsb1BhLVJZ?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-20,roadway,Not identified,5,5,"Fatal accident in Mainaguri bus and truck collision, 5 dead, many injured - Ei Samay",https://news.google.com/rss/articles/CBMizAFBVV95cUxNS3dKMkZhZVJKeENnR1VDZ21PSUI4UjgtcGdTRF9rb2oxbjNBa3FmMXBLcjQ3ZzVNRmZkT0NSdmlRZDM4dFlteEZfVi16dWE0cGFOSkp2bDhxd2lUSGZSWFA3TmlZam9nNFJyQURXUV9UUUdabzIyZmQ3SVhJLWFlejdnTWg3YVFPRjBuTzRvdUpVS1JEU2NYX3R4MVg2TzhBUV94ellkTUE3S0tMWVRKRDFzZ0xqN2sxTkJ6S05DTVVnSUZFTUl6UkU1Z2LSAdoBQVVfeXFMUGVhWGpheFdKUXhDdF9pc0tuRUM3SFJxWFR6Q2RlTmxkOG1UOHA5OVlTdXFFQW9hX1hhblZuNnR5SzY5VWhwN0Y0OU5PMmYwRlgwYTlxRUtOQkszYWRURHNiWUxtZVluQnEwQmhhVm9tdjF5NF8wbFJudW1LdGVBQWxqTXRfTGptcWVqYUdCSmFNM3ZMSmNfOGFyeWNfVGhTd1dWeGNpaklHWjdCcVFDczBLakZKTndpMWZmYjBVWGc0OF9sLVhid2liVDBBeW0wNlpBMGhOMWdjeVE?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-21,roadway,Not identified,4,,"Moynaguri Bus Accident: Fatal road accident on Moynaguri National Highway, bus-truck collision in Moynaguri, 4 dead - ABP Ananda",https://news.google.com/rss/articles/CBMitwFBVV95cUxON3lVYW5rVk9udW1WVUNIWjY0NG8zekwzQm4zZk5ZMDhRNFA1d25JNGdhdWEzLUktMzRFekhpU1lOdlhKRGdIOFRtNjJsT2l2SUpNWkpXZElmUEVfTGpWQ2t3enVsZVNpRzREQmMxczhRYzRtMFRaNVhNNVdXYXNJR1I1VVdPNy1NV1lseG5qODItWnhTYTdsTng5c25qZG9laXlMVDVzdXFSOWpkOE9CaUtZZHVqSnfSAbwBQVVfeXFMUGpfeHd6ajJ2bEIyeS15UWQyd3pRWEJESmFWVHAxeWFjSDYwRkxFZWRUNnE0M0lCN1FPclJNeHJTbmxjOGV2SXZaZS1id253YW9jRDQ0SUd0ZHloQUNnRTFaYk5ENjRjQ1RiaUVEVHNCenhhd0R0ZE5Oc21zNHlISE4xcjIxdHRUblBMYmxfemJOV284N3hvVmx5SW9kYUNSb0NGcGFTeGNwbm9lRG54bTFwUjl6OTR1Ni0zQVo?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-23,roadway,Not identified,3,,15-Year-Old Among 3 Dead After Truck Crashes Into Kerala Bus Stop - NDTV,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPbHAzb0ZFdnJXbDZoNXB4ODdsb3RzR3NPS0xCSEZoaW8xaEZia2tLcDRjamlNc1A2SVVSYmpSQTlXNXdfamRPOC1YMXNMR2R5bTdmdURJenRaQll4NllNakVRRWFOM0U4dmdLa2lfazRCN216TjlaWnZlTDBoYzBxZDNtYl9mMVBfT3RYUmtKVklTaWsxVllLeW53NDdJVFJTSGJJWTVWTGx3UdIBsgFBVV95cUxQYmpOMEluR0piVkZ3MjdqZ2szNkZrWVRndlFUbFhrYVIxc25tVHl1THNRZlA2U0tvOTZwNnNzX1ZuNXhJTVh4N0Z0V1ZvdDFWQzEtb2tfajByOC1rVXR6d1R3bE9CUF9uTE41NDRfcDYyZmt3VktLemVHWHNHTkY0MzZKZmhnVnItQm9IUl9GSUVWYnZnOWVQeVNCemp3dDNsQkVqUzVzY1Vxa2FpVmtFenpn?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-23,roadway,Not identified,3,,"Tragic accident in Kottarakkara Nileswaram; Out of control tipper lorry overturns at bus stop, three dead, rescue operation continues - Asianet News Malayalam",https://news.google.com/rss/articles/CBMingFBVV95cUxQSXk3RE45eXA2ZVc3ZFBHVFpfNHZhUno2dndlbUhITF9pdHgyZUM5bnNwamtfb041Z0o1a0otTEM4M0FVYnhqU2RDQlJMcUlVS05ncGVMYW5hQmhaekFhdU5TbTktZ3pZS0JlbS1wU1lFQjhtR1J5MkkzcWhkNUI4c0pUUHNOMEMzQ3RqNUxYR1UwQU5Ua2dxU283X0lHd9IBowFBVV95cUxPbjdiUGgzR0xXWXM1M0hqVlJCSkF6TlJaQmtMOF9hbmZUbXV4LVB6UEZTLXA0VVVYQjJXakVKeS1VOGU0UHFWVEtUMVVWVUhzaFZFNGx6TC12QlE4eU93bHhPOC1HM1drRWgzcUc0cGRfeTd0WFRjNThfTGNRVjhQQzA1b0pxdU5XRWxmM0NIeTFhNGs3MVlmRkFTenUtNjE3U2h3?oc=5
MEDIUM,reports disagree on the casualty count,killed reported as 1/2,2026-06-25,others,Panipat,1,,"Panipat - Girls buried under a bundle of 10 quintal thread: 2 died - the third serious, accident while playing; Went with mother... - Dainik Bhaskar",https://news.google.com/rss/articles/CBMiswFBVV95cUxPWDl5aUZOOERtc1o1RENEM0hKMERCZzhqWGRLWC1wNlN4TjJQaVYxeVFmVXhlUDQwWGR2b20xQzc0bUdQZnd5bTRpby1oamVrMElzOW1DeFZiRVFiWFJzMW1tR3k4U0RkQmZsZWwtSHdTQ1RkOUNWX05rZ0pvOElicVY0TnBEenItZTYzSzkzSFAxWUFRRmdOMUl0cjBwaF90bDdvYWR6UTJHNU4temhSdWZHONIBuAFBVV95cUxNSkEycFk5VzZkQ2cxUzZTLWFmYU1jNXljcTNBeVo1QmhIZUxRSDAzNC1YNWhId0U3RXJWeHhuZGNYaVRFZFp6YmQ5dGtaZnF3YUVybTM2QllqRzFTV250NHZZUmc5d2RXb0ZNajEtUGJhZGlsXzhjWE1GUHRrWkJzUjVRb1hlZS11NHJJQXIxWWpKVFZpR1ZRd0FROEJkQ0EtZ3YxWWFnbFZqVlBpU1QxcklpX01YeUE0?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-26,others,Not identified,3,,"Tragic accident in factory located in Mundka, three workers died due to poisonous gas in septic tank - ETV Bharat",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQRGZ4WFV4dm1XUE5kUXowY2M0Y3ItNXkxM3VVM0MxcXpVa3d0b05VYm9zVHpCYm8yMjVFbGpMdmFPRUFyd3hzTTdiTUcxb24zRFJYZHRxWHFxRlVhbUZma1dnM3VjVXhGeTZjT2xUYXkyS2ZsZmJpYWFNWllQMkNZVnE4OEUxc2hNU2R4elhrQTFkWFcxVDdHbE4yLTdFeUVkYzBjUDdDUFQ0bjNUbDRqNjM5U05lZ1JlbmVFb2xielpBWEpWUFVLMldNbTVCcTBGTE1xTF8zbThXZVpt0gHiAUFVX3lxTE9weXJ6Z1ZodEVwVExSWlFXcmkxWXJCazZMTXNhZXk3T3pfRm1jRl9lcFVCdUF3Zk9fZ3c0TFZBdHo0cVA0YUJ0c2FQcFZwSUNHeWhfTVcxZC1SUk16Vmx0Q0xUMi0wUnRGVE13YUtvYS1GWUlZcGZsU3BOdVVaVm5QRlhmOFBkbG01SjgxM2hTeGFRc1VxZEg4NEY2cG5TeEhaUS1hc0hrOVBEUW9iWUZvZmJSSnFoN3lTdy15eVUtcXphNEZkX1lMT1VQNVF2V1RRbEtwSWtZektFbE9tUHI5Snc?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-28,roadway,Not identified,4,,Chamba Road Accident: The car fell into the ravine in the intersection of Chamba; Four people died - Punjabi Tribune,https://news.google.com/rss/articles/CBMiygFBVV95cUxQblVVODJEcGFmSmJOWjdFcjQ5ZC1pNFpOYVgyUmxJZ3BzMnVYN0FmLWJIQkpqSHZkek9aV20zdmhlNGdWME5uQmtKMnJFcXJzXzYxelVxSXFMQ2ZkTF9HQ3NhN2FZbGZQb1puNFZPcTJIUTJpMnlsRU1RelRaR3Z0SE1udFcxVEdta1Jzb0lCWWJPZFdITkN1T0pBa1FyTlRUanFjeTVabUlqVTM3d1QteEtiS2hCVm4zaHNYTlhIOWhXc0h5ZUk0b2530gHOAUFVX3lxTE5zZ3RzTHNQbDg4RDFBOFRMdFF2cTVOMjlqeE4wLUNiTWtXZ3c2UHdORWUzeF9ObFlHR1luU2VucUxLcmFXdWx1WlRZanhEdFdwSF9LeWJLVzRWMHZHQWRZd0lFWFZHTnBONWpqVWxDaGxDRG1NS2E4WElTd3VPWk50UmpsRzRuZnhhWDVwUE8wT2dlby1EY0lsTDZrU3JwcWNkN1ZSWjNndlI3VzNGeEFjZktwaDR2UHhReFRVeTI4VFJHN1ZfaW1QYzJ3LTZB?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-29,roadway,Not identified,3,3,"Jaipur Ajmer Highway Accident: Terrible accident on Jaipur-Ajmer highway; 3 dead, 3 injured due to truck hitting a standing bus - Punjabi Tribune",https://news.google.com/rss/articles/CBMi-gFBVV95cUxPM3hFY3VjcVVPUzZCdldUNVBfZW4wM2pfeUNEZUxMenh3RGZnQW1SRWhDOHFRTWZmUjFNcUo1NWIwZHFBdWFuTjBOUXlFYkZWckZKZWlURFVuLXVCaEVCMWpRVkktTDJjY3FocDR6WnVpUElMajFwbEQ4dzg0bURUcUdJdDBQdlBOZVduYkhHNGlXMUZTaWZTQi03M0lqM1JWUUlFSVRNVW1VTTAyUmVtU1ZEV3FhVV9rMjNFN2trLXBnVUFta0d6Qk9RUkU5SkhOQTZlNFBheFlCOEQ2VG8zZWdpVmxNV1ljbDl6SGhFSW56andQTllXc0hB0gH-AUFVX3lxTE1nVnNTSGROb2dfa3Njd05RdUU2TDk2a2IxS2U1Q25xdGRERGVYbTBBRlVQX3RQWUxnUzUzUU1wQ1c3OTIxMmdaN3ZoMUktU2liZVpTMVRjSm5wNVBwMWlRbkVvVU55bDFhNWwySnpRY01nZ1ZnOU5Bd19pSlplam9vMXI4R3NyVm1mYnM2ZVVyYzRyZkxJMzA0TFF6MUltZTJNUmxuRi1kVkRkeVhYT09Udk41U1FVaGl2WmZIdExvVXktRk9MQ3lDRWxTTERpc0RmLTEzdm95UGxrS1I4NkwyMzVYT1VfZGRxbk03bmF3ZEpsVjFkVTdEaGt0R1N3?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-29,roadway,Not identified,4,,Fatal road accident.. Four killed - Andhrajyothy,https://news.google.com/rss/articles/CBMirAFBVV95cUxQWmJnbHd3RkhsOTVZaVJVRDhrdk83aU52RHN0MTNqcWdxVW9rNE42Q1p5elJDYmY2MDZfSFJ0NDZKT0E2TzJrZ195T0pTR2NMUXRqTG5JZG93WUtCSzdCX1MwQTU3OFdrcFhnZG1SSFFVbEVOYnVoclRnWTRGNXJJUHVlM0x5SEhxcnBfaExwaVk1WW8xWGlnUXprelFUX1pPQng0VUFmbTRrc3Fr?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-30,roadway,Not identified,4,19,"Bus and truck collide on Yamuna Expressway, 4 dead, 19 injured; See pictures of the spot - AajTak",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOSHlzdVJDR1JTTU9pYWlfcmFyWU5YaERVenFZb3FHUU5NeThkR3JlZjlsUUFYU2JGSnBmTjR3eVdSX0owS3VJUWZvREVGc1I4RkNUZ3hKQ3pUbC1QSHhBS0NLVkxZNlZKeGdoNkRnTE9oemhrZWk2Z2VNM3JTOE1ocDNiSmxGenMza2hPLVdGLVhkVFZielpSWTFiNF9jdGdUa2Uyb3NXZVNHTnNSYWViY2ZqZmFLLTMyelp1QlhPQktnOVFfOG43R1JIUjE0VmRvbjR2bzJVRWhnZVlHVVHSAeMBQVVfeXFMTUZzbXAySHpqRkFEVFJ0cDdnWjhNY2VINHc1TnlCb2ltTHVmRk5TUFBwWU1YcDgwRm1XQWZhZll5enB0QUJ1UUFLSnh2QndfX3BheTlUeXp1dFc0X2Q5b3JCV00wcnRZZ1lFTFRfWXVDN2VMTmR6MFI0aUFWUlYtTzdrNTdSUWdGbFl2OHV2RVl4clAtY3ZKTHNPMGF3UHlkdW1ZOWFkam5nS21rNm9EQm00S0NWS2YtQmNXRE01dnR2T0cwMkg4bEo1eFF1SEhzbTg3WW5sTzg4T2NFb0JSTzl0aHM?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-30,train,Not identified,5,25,"Kaal became a 'sleepy nap' on Yamuna Expressway: Speeding bus rammed into a trailer filled with ballast; 4 dead, 25 injured - horrific accident on yamuna expressway 5 dead 25 injured in bus truck collision - Jagran",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOcFZ6THZhYzVHb1hZWXZ0YURpSjY1TTNEN0pLQVpYX215ZXQyNm5tT082UFF4bmJWNHhUYkhnWm9ZQUhRb0w0WmM0Y3A1M3BaU1FuMzJBM191QXR4TU5oQ0JUU01rSHg3SVlWdldKRUNWMlQ2TElVN0UwTU5Za2k1bEJMaUtLeUlFRkk0UTJYMmV1bGJXdEdsNERadnVDWkVkRWhwU1FKaFlLdVVkME80YlJSYkZJbWNGcElZc3pfWnNmaVFaRnhwbkNJeE1sS3BYczVrQg?oc=5
MEDIUM,no place identified despite a significant toll,,2026-06-30,roadway,Not identified,7,,"Terrible accident between bus-trailer on Delhi-Mumbai Expressway, 7 dead, 22 critical - Gujarat Samachar",https://news.google.com/rss/articles/CBMi4wFBVV95cUxNVmtpRGN2LXVsWTR2NW5NS29HR0IzTjdlM0xvU2U2UndMME83ZnV4M1VfLWNKRGtRUTdOdnpPTndLNnJYSkN4V24wRll3SnFfaWZxeEN3bEZwSTVINExsMkNHUjFTMEU3Vmp1Q1NuT0xDV2xnUjRGQnY3SWhYemlBWXVTTndMN0Y5MnN5RmIyWmFfejVvTmozY09aWS1kc3MtZGhBT3RTQ2JHSVc3ZC0wdzJDbWNDeDhUdE9IZFE1VnRteldJTTRrWUViVGt0YUt5YklJOUVGa3pwVUFTdEZDSW5EQQ?oc=5
